security_symbol,date,open,high,low,close,adjusted_close,volume
%5EGSPC,1980-12-12,127.36,129.98,127.15,129.23,129.23,39530000
%5EGSPC,1980-12-15,129.23,131.33,128.64,129.45,129.45,39700000
%5EGSPC,1980-12-16,129.45,131.22,128.33,130.6,130.6,41630000
%5EGSPC,1980-12-17,130.6,133.59,130.22,132.89,132.89,50800000
%5EGSPC,1980-12-18,132.89,135.9,131.89,133.0,133.0,69570000
%5EGSPC,1980-12-19,133.0,134.0,131.8,133.7,133.7,50770000
%5EGSPC,1980-12-22,133.7,136.68,132.88,135.78,135.78,51950000
%5EGSPC,1980-12-23,135.78,137.48,134.01,135.3,135.3,55260000
%5EGSPC,1980-12-24,135.3,136.55,134.15,135.88,135.88,29490000
%5EGSPC,1980-12-26,135.88,137.02,135.2,136.57,136.57,16130000
%5EGSPC,1980-12-29,136.57,137.51,134.36,135.03,135.03,36060000
%5EGSPC,1980-12-30,135.03,136.51,134.04,135.33,135.33,39750000
%5EGSPC,1980-12-31,135.33,136.76,134.29,135.76,135.76,41210000
%5EGSPC,1981-01-02,135.76,137.1,134.61,136.34,136.34,28870000
%5EGSPC,1981-01-05,136.34,139.24,135.86,137.97,137.97,58710000
%5EGSPC,1981-01-06,137.97,140.32,135.78,138.12,138.12,67400000
%5EGSPC,1981-01-07,136.02,136.02,132.3,135.08,135.08,92890000
%5EGSPC,1981-01-08,135.08,136.1,131.96,133.06,133.06,55350000
%5EGSPC,1981-01-09,133.06,134.76,131.71,133.48,133.48,50190000
%5EGSPC,1981-01-12,133.48,135.88,132.79,133.52,133.52,48760000
%5EGSPC,1981-01-13,133.52,134.27,131.69,133.29,133.29,40890000
%5EGSPC,1981-01-14,133.29,135.25,132.65,133.47,133.47,41390000
%5EGSPC,1981-01-15,133.47,135.15,132.44,134.22,134.22,39640000
%5EGSPC,1981-01-16,134.22,135.91,133.35,134.77,134.77,43260000
%5EGSPC,1981-01-19,134.77,135.86,133.51,134.37,134.37,36470000
%5EGSPC,1981-01-20,134.37,135.3,131.26,131.65,131.65,41750000
%5EGSPC,1981-01-21,131.65,132.48,129.93,131.36,131.36,39190000
%5EGSPC,1981-01-22,131.36,132.08,129.23,130.26,130.26,39880000
%5EGSPC,1981-01-23,130.26,131.34,129.0,130.23,130.23,37220000
%5EGSPC,1981-01-26,130.23,131.18,128.57,129.84,129.84,35380000
%5EGSPC,1981-01-27,129.84,131.95,129.32,131.12,131.12,42260000
%5EGSPC,1981-01-28,131.12,132.41,129.82,130.34,130.34,36690000
%5EGSPC,1981-01-29,130.34,131.78,128.97,130.24,130.24,38170000
%5EGSPC,1981-01-30,130.24,131.65,128.61,129.55,129.55,41160000
%5EGSPC,1981-02-02,129.48,129.48,125.82,126.91,126.91,44070000
%5EGSPC,1981-02-03,126.91,128.92,125.89,128.46,128.46,45950000
%5EGSPC,1981-02-04,128.46,129.71,127.29,128.59,128.59,45520000
%5EGSPC,1981-02-05,128.59,130.49,127.99,129.63,129.63,45320000
%5EGSPC,1981-02-06,129.63,131.81,129.03,130.6,130.6,45820000
%5EGSPC,1981-02-09,130.6,131.39,128.61,129.27,129.27,38330000
%5EGSPC,1981-02-10,129.27,130.19,128.05,129.24,129.24,40820000
%5EGSPC,1981-02-11,129.24,129.92,127.6,128.24,128.24,37770000
%5EGSPC,1981-02-12,128.24,128.95,126.78,127.48,127.48,34700000
%5EGSPC,1981-02-13,127.48,128.34,126.04,126.98,126.98,33360000
%5EGSPC,1981-02-17,126.98,128.75,126.43,127.81,127.81,37940000
%5EGSPC,1981-02-18,127.81,129.25,127.09,128.48,128.48,40410000
%5EGSPC,1981-02-19,128.48,129.07,125.98,126.61,126.61,41630000
%5EGSPC,1981-02-20,126.61,127.65,124.66,126.58,126.58,41900000
